provstate,city,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,weaptype1_txt,weapsubtype1_txt
Punjab,Lahore,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Pakistani Military,An army patrol was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being)
Balochistan,Quetta,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",,The residence of a local government employee was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Grenade
Federally Administered Tribal Areas,North Waziristan district,Armed Assault,Terrorists/Non-State Militia,93,Terrorist,,Taliban militants,Pakistan,Firearms,Unknown Gun Type
Punjab,Lahore,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Punjab,Lahore,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
North-West Frontier Province,Shabqadar district,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,A pro-government tribal elders was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
North-West Frontier Province,Peshawar,Assassination,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,A member of the Mohmand Agency Peace Committee was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
North-West Frontier Province,Bara,Armed Assault,Business,7,Retail/Grocery/Bakery,,A shopkeeper was targeted in the attack.,Pakistan,Firearms,Other Gun Type
Sindh,Karachi,Hostage Taking (Kidnapping),Business,,.,,A property dealer was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Balochistan,Khuzdar,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,,A shop was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Grenade
Balochistan,Khuzdar,Unknown,Police,25,Police Security Forces/Officers,,The home of a police officer was targeted in the attack.,Pakistan,Unknown,.
Balochistan,Dera Bugti,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Balochistan,Mastung,Armed Assault,Educational Institution,49,School/University/Educational Building,,The vehicle of the Cadet College Mastung was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Balochistan,Mastung,Bombing/Explosion,Utilities,107,Electricity,,Electricity towers,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Bajaur district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government run boy's primary school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Bajaur district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government run school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Mohmand district,Bombing/Explosion,Business,6,Medical/Pharmaceutical,,A medical clinic was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
North-West Frontier Province,Bara,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Six alleged robbers,Pakistan,Unknown,.
Federally Administered Tribal Areas,Mohmand district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,Rahim Gul Primary School was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
North-West Frontier Province,Hangu,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Tribal elders,Pakistan,Melee,Knife or Other Sharp Object
Balochistan,Quetta,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
North-West Frontier Province,Nowshera,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A girls' school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
North-West Frontier Province,Dera Ismail Khan,Bombing/Explosion,Government (General),21,Government Building/Facility/Office,Pakistani Government,The election office of the JUI was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Grenade
North-West Frontier Province,Thal,Hostage Taking (Kidnapping),Private Citizens & Property,69,Religion Identified,,Shia truck drivers,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Bajaur district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,Suspected Taliban blew up a primary girls' school.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,North Waziristan district,Hostage Taking (Kidnapping),Government (General),18,"Government Personnel (excluding police, military)",,Two former Pakistani Inter-Services Intelligence officers,Pakistan,Firearms,Unknown Gun Type
Balochistan,Kohlu,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,,A tea stall was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
North-West Frontier Province,Bara,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A primary school for boys was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
North-West Frontier Province,Bara,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Safi,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government middle school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,,A guesthouse was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Orakzai district,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Melee,Knife or Other Sharp Object
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,,A compact disc shop was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Orakzai district,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
North-West Frontier Province,Dir,Facility/Infrastructure Attack,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government school was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
North-West Frontier Province,Maidan,Facility/Infrastructure Attack,Educational Institution,49,School/University/Educational Building,,A school was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Sindh,Korangi,Armed Assault,Violent Political Party,109,Party Official/Candidate/Other Personnel,Muttahida Qaumi Movement (MQM),Activist,Pakistan,Firearms,Other Gun Type
Sindh,Karachi,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,The nephew of a MQM activist was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Orakzai district,Facility/Infrastructure Attack,Business,6,Medical/Pharmaceutical,,A health care center was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Sindh,Korangi,Armed Assault,Police,25,Police Security Forces/Officers,,A police officer was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Orakzai district,Facility/Infrastructure Attack,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government school was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Federally Administered Tribal Areas,Orakzai district,Facility/Infrastructure Attack,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government high school was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Federally Administered Tribal Areas,Orakzai district,Facility/Infrastructure Attack,Educational Institution,49,School/University/Educational Building,,A school was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Federally Administered Tribal Areas,Orakzai district,Facility/Infrastructure Attack,Educational Institution,49,School/University/Educational Building,,A school was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Federally Administered Tribal Areas,Orakzai district,Facility/Infrastructure Attack,Educational Institution,49,School/University/Educational Building,,A school was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Federally Administered Tribal Areas,Miran Shah,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Two civilians,Pakistan,Unknown,.
Balochistan,Dera Murad Jamali,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Mohmand district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A girls' primary school was targeted by the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Balochistan,Quetta,Armed Assault,Business,1,Gas/Oil,Sui Southern Gas Company,A senior official of a gas company was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Timergara,Bombing/Explosion,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Awami National Party,People at the Awami National Party  meeting,Pakistan,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being)
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Government (Diplomatic),46,Embassy/Consulate,United States Consulate,A checkpoint outside the United States consulate was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Government (Diplomatic),46,Embassy/Consulate,United States Consulate,The gate of the United States consulate was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Balochistan,Dera Bugti,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,,A civilian vehicle was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,,A market area was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Hangu,Assassination,Terrorists/Non-State Militia,94,Non-State Militia,Lashkar Tribal Miliitia,A Lashkar tribal leader was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Mingora,Bombing/Explosion,Business,,.,,A bazaar was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government girls high school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Sufaid Dheri Middle School,The Sufaid Dheri Middle School for boys,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,"A government primary school, Bacha Garhi,",Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Facility/Infrastructure Attack,Transportation,99,Bus (excluding tourists),,Two passenger buses,Pakistan,Incendiary,Arson/Fire
Sindh,Karachi,Facility/Infrastructure Attack,Transportation,99,Bus (excluding tourists),,A passenger bus was targeted in the attack.,Pakistan,Incendiary,Arson/Fire
Balochistan,Hub,Bombing/Explosion,Business,5,Industrial/Textiles/Factory,Hub Cement Factory,A Hub Cement Factory vehicle was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Grenade
Sindh,Karachi,Assassination,Violent Political Party,109,Party Official/Candidate/Other Personnel,Jamiat Ulema-e-Islam-Fazl (JUI-F),Leaders,Pakistan,Firearms,Handgun
Balochistan,Mastung district,Bombing/Explosion,Utilities,106,Gas,,A gas pipeline was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Dir district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A boys' school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Khyber district,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Mohmand district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Dalbandin,Unarmed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Two girls,Pakistan,Chemical,.
Balochistan,Panjgur,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,,A barber shop was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Grenade
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Overseas Pakistanis Foundation (OPF) College,The Overseas Pakistanis Foundation (OPF) College,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Mingora,Assassination,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Awami National Party,Awami National Party's (ANP) provincial leader was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Bajaur district,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Two civilians,Pakistan,Unknown,.
Balochistan,Nasirabad,Assassination,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Bugti Tribe,A Bugti tribal chieftain was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Mohmand district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government run boy’s primary school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Mohmand district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Mingora,Assassination,Terrorists/Non-State Militia,94,Non-State Militia,Lashkar Tribal Miliitia,A Lashkar chief was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Balochistan,Quetta,Bombing/Explosion,Business,,.,,Civilians,Pakistan,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being)
Sindh,Karachi,Hostage Taking (Kidnapping),Violent Political Party,109,Party Official/Candidate/Other Personnel,Muhajir Qaumi Movement: Haqiqi (MQM-H),Activist,Pakistan,Firearms,Unknown Gun Type
Sindh,Karachi,Assassination,Violent Political Party,109,Party Official/Candidate/Other Personnel,Ahle Sunnat Wal Jamaat (ASWJ),Vice President: Manzoor Khan,Pakistan,Firearms,Handgun
Sindh,Karachi,Armed Assault,Private Citizens & Property,84,Political Party Member/Rally,Mohajir Qaumi Movement-Haqiqi (MQM-H) (Afaq group),"Former activist of the Mohajir Qaumi Movement-Haqiqi (MQM-H) (Afaq group), Mumtaz Sheikh,",Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Sardheri,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government-run school,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Sardheri,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government-run school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Kohat,Bombing/Explosion,Private Citizens & Property,69,Religion Identified,,Displaced Shia Muslims,Pakistan,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being)
Federally Administered Tribal Areas,Landi Kotal,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Pakistani Government,Government employee living quarters,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Khyber district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Landi Kotal Degree College,Landi Kotal Degree College was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Khyber district,Hostage Taking (Kidnapping),Police,25,Police Security Forces/Officers,Khasadar Tribal Militia,A Khasadar Tribal Militia member on leave was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Koza Bandai,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Two pro-government village defense committee members,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being)
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,School children,Pakistan,Explosives/Bombs/Dynamite,Time Fuse
Federally Administered Tribal Areas,Orakzai district,Bombing/Explosion,Business,6,Medical/Pharmaceutical,Basic Health Unit,A local Basic Health Unit was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Charsadda,Armed Assault,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Pakistan People's Party- Sherpao,A leader of the Pakistan People's Party- Sherpao was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Orakzai district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Pakistani Government,A government girl's school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Sibi,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,,A bakery was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Khyber Pakhtunkhwa,Timergara,Bombing/Explosion,Police,25,Police Security Forces/Officers,Timer-Gara Law Enforcement,Police officers,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Quetta,Armed Assault,Educational Institution,48,Teacher/Professor/Instructor,,A professor was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Balochistan,Quetta,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Orakzai district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A girl's school,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Orakzai district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A primary school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Quetta,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,,A residence was targeted in the attack.,Philippines,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Quetta,Bombing/Explosion,Business,6,Medical/Pharmaceutical,,A hospital was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Khairabad,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,The target was a government school.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Inayat Qala,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,The target was a government school.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Punjab,Lahore,Bombing/Explosion,Business,,.,,The target was a museum.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Kabal,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Pakistani Government,A government official,Pakistan,Explosives/Bombs/Dynamite,Grenade
Punjab,Lahore,Armed Assault,Police,24,Police Checkpoint,,The checkpoint outside a police station,Pakistan,Firearms,Unknown Gun Type
Balochistan,Mastung,Armed Assault,Government (General),18,"Government Personnel (excluding police, military)",Pakistani Government,A government official was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Orakzai district,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,The targets of the attack were three civilians allegedly  guilty of theft.,Pakistan,Melee,Knife or Other Sharp Object
Balochistan,Sariab,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,,Railroad tracks,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Hangu,Bombing/Explosion,Police,25,Police Security Forces/Officers,,Police were targeted in the bombing.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Kohat,Bombing/Explosion,Utilities,107,Electricity,,The target of the bombing was a power supply tower.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Landi Kotal,Bombing/Explosion,Transportation,104,Highway/Road/Toll/Traffic Signal,,The target of the explosion  is on a highway in the Landikotal sub-district of the Khyber Agency in Pakistan's Federally Administered Tribal Areas (FATA).,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Utilities,107,Electricity,,"The target of the bombing is a power supply tower in Peshawar, Pakistan.",Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Other,65,Refugee Camp,,The target of the explosion was an Afghan refugee camp.,Afghanistan,Explosives/Bombs/Dynamite,Other Explosive Type
Sindh,Karachi,Assassination,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Wali Khan was the name of the target.,"The target of the attack was a local Awami Nation Party (ANP) leader, identified as Wali Khan alias General.",Pakistan,Firearms,Unknown Gun Type
Balochistan,Quetta,Bombing/Explosion,Utilities,106,Gas,,A gas pipeline was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Kurram district,Hostage Taking (Kidnapping),Government (General),18,"Government Personnel (excluding police, military)",Water and Power Development Authority,Four employees of the Water and Power Development Authority,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Safi,Hostage Taking (Kidnapping),Private Citizens & Property,77,Laborer (General)/Occupation Identified,,A doctor,Pakistan,Unknown,.
Khyber Pakhtunkhwa,Hangu,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,Pakistan,Unknown,.
Khyber Pakhtunkhwa,Hangu,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,,A noted elder,Pakistan,Firearms,Unknown Gun Type
Balochistan,Quetta,Armed Assault,Business,7,Retail/Grocery/Bakery,,A barbershop was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Tank district,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,A tribal elder,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Dera Ismail Khan,Assassination,Police,25,Police Security Forces/Officers,Khyber Pakhtunkhwa Law Enforcement,The Deputy Superintendent of police,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Sindh,Karachi,Armed Assault,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Awami National Party,The assailants targeted an activist from the Awami National Party (ANP).,Pakistan,Firearms,Unknown Gun Type
Balochistan,Quetta,Bombing/Explosion,Utilities,107,Electricity,,An electricity tower was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Quetta,Bombing/Explosion,Utilities,107,Electricity,,An electricity tower was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Kohat,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Tribal leaders,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Mardan,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Awami National Party,A shop belonging to an Awami National Party member,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Datta Khel,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Two civilians accused of spying,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Tank,Assassination,Government (General),18,"Government Personnel (excluding police, military)",Jamiat Ulema-e-Islam-Fazl,"The assailants targeted the Jamiat Ulema-e-Islam-Fazl's chief for FATA, Maulana Merajuddin Qureshi.",Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Mir Ali,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,A civilian accused of spying,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Dir,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A girls' primary school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Grenade
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A girls' primary school,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Punjab,Lahore,Bombing/Explosion,Journalists & Media,55,Television Journalist/Staff/Facility,Kashif Cable Network,The target was the Kashif Cable Network office.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Punjab,Lahore,Bombing/Explosion,Business,11,Entertainment/Cultural/Stadium/Casino,Supra Musical Group,The office of Supra Musical Group,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Punjab,Lahore,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Sultan General Store,A general store,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Punjab,Lahore,Bombing/Explosion,Business,,.,,A building containing old musical instruments,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Punjab,Lahore,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,,A shop,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Balochistan,Quetta,Armed Assault,Private Citizens & Property,77,Laborer (General)/Occupation Identified,,A doctor was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Mohmand district,Armed Assault,Private Citizens & Property,77,Laborer (General)/Occupation Identified,Baizai Peace Committee,The assailants targeted members of the Baizai Peace Committee.,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Landi Kotal,Bombing/Explosion,Utilities,108,Oil,,An oil tanker was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Khyber Pakhtunkhwa,Matta,Armed Assault,NGO,61,Domestic NGO,,The assailants targeted a local peace committee member.,Pakistan,Firearms,Unknown Gun Type
Balochistan,Awaran,Bombing/Explosion,Government (General),21,Government Building/Facility/Office,Pakistani Government,A government building was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Balochistan,Khuzdar,Bombing/Explosion,Government (General),15,Politician or Political Party Movement/Meeting/Rally,,The residence of a senior Balochistan National Party member,Pakistan,Explosives/Bombs/Dynamite,Grenade
Balochistan,Quetta,Bombing/Explosion,Educational Institution,48,Teacher/Professor/Instructor,,A Shia scholar was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Khyber Pakhtunkhwa,Hangu,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,,A school was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Balochistan,Khuzdar,Bombing/Explosion,Business,10,Mining,Bolan Mining Company,The Bolan Mining Company was targeted in the attack.,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Khyber Pakhtunkhwa,Haripur,Armed Assault,Private Citizens & Property,69,Religion Identified,,A prayer leader was targeted in the attack.,Pakistan,Firearms,Unknown Gun Type
Punjab,Bhadana,Armed Assault,Educational Institution,48,Teacher/Professor/Instructor,,A teacher,Pakistan,Firearms,Unknown Gun Type
